aaaammgghhpp	ARGEME	ARMVAL	AVECAB	CAIROM	CAMINA	CARASC	FORNOL	IMPERU	MOLINE	MURIAL	DOLCEA	NEVCIS	PORTOV	SANTUA	VOBBIE	QUAZQU	BOLSTE	POLCAM	BISMOL	ROVEGN	SCRISO	CAMPST	OSIGLT	PPOGGI	
202202090400	0.63	0.00	5.32	0.00	1.99	19.27	80.34	0.00	1.59	5.97	0.02	0.27	0.35	0.00	9.97	0.00	0.07	4.17	6.42	13.36	23.81	6.91	0.00	0.15	
202202090500	0.63	0.00	5.38	0.00	1.98	19.39	81.19	0.00	1.59	5.97	0.02	0.27	0.35	0.00	9.70	0.00	0.07	4.17	6.38	13.35	23.65	6.85	0.00	0.15	
202202090600	0.63	0.00	5.38	0.00	1.95	19.42	82.02	0.00	1.59	5.97	0.02	0.27	0.35	0.00	9.44	0.00	0.07	4.13	6.32	13.35	23.46	6.78	0.00	0.15	
202202090700	0.63	0.00	5.36	0.00	1.94	19.50	82.66	0.00	1.59	5.97	0.02	0.27	0.35	0.00	9.18	0.00	0.07	4.11	6.26	13.30	23.28	6.68	0.00	0.15	
202202090800	0.63	0.00	5.40	0.00	1.93	19.59	83.09	0.00	1.57	5.97	0.02	0.27	0.35	0.00	8.96	0.00	0.07	4.11	6.20	13.21	23.07	6.60	0.00	0.15	
202202090900	0.63	0.00	5.41	0.00	1.92	19.56	83.52	0.00	1.56	5.97	0.02	0.27	0.35	0.00	8.74	0.00	0.07	4.14	6.13	13.07	22.85	6.54	0.00	0.15	
202202091000	0.63	0.00	5.41	0.00	1.91	19.60	84.17	0.00	1.57	5.97	0.02	0.27	0.35	0.00	8.52	0.00	0.07	4.18	6.07	12.99	22.63	6.45	0.00	0.15	
202202091100	0.63	0.00	5.41	0.00	1.91	19.58	84.75	0.00	1.57	5.97	0.01	0.27	0.35	0.00	8.30	0.00	0.06	4.18	6.02	12.91	22.39	6.37	0.00	0.14	
202202091200	0.63	0.00	5.38	0.00	1.89	19.66	85.23	0.00	1.57	5.96	0.01	0.27	0.35	0.00	8.09	0.00	0.06	4.17	5.96	12.82	22.14	6.29	0.00	0.14	
202202091300	0.63	0.00	5.32	0.00	1.89	19.77	85.54	0.00	1.55	5.96	0.01	0.27	0.35	0.00	7.90	0.00	0.06	4.14	5.88	12.73	21.91	6.20	0.00	0.14	
202202091400	0.63	0.00	5.30	0.00	1.89	19.84	85.72	0.00	1.55	5.96	0.01	0.27	0.35	0.00	7.70	0.00	0.06	4.14	5.82	12.63	21.66	6.10	0.00	0.14	
202202091500	0.63	0.00	5.24	0.00	1.89	19.85	85.84	0.00	1.54	5.96	0.01	0.27	0.35	0.00	7.52	0.00	0.06	4.15	5.75	12.51	21.39	6.03	0.00	0.15	
202202091600	0.63	0.00	5.24	0.00	1.87	19.83	85.83	0.00	1.53	5.96	0.01	0.27	0.35	0.00	7.34	0.00	0.06	4.15	5.68	12.39	21.14	5.95	0.00	0.15	
202202091700	0.63	0.00	5.19	0.00	1.87	19.72	85.82	0.00	1.51	5.96	0.01	0.27	0.35	0.00	7.17	0.00	0.06	4.20	5.61	12.31	20.87	5.86	0.00	0.15	
202202091800	0.63	0.00	5.13	0.00	1.84	19.62	85.63	0.00	1.50	5.96	0.01	0.27	0.35	0.00	7.01	0.00	0.06	4.24	5.55	12.22	20.60	5.78	0.00	0.14	
202202091900	0.63	0.00	5.08	0.00	1.83	19.53	85.43	0.00	1.48	5.96	0.01	0.27	0.35	0.00	6.85	0.00	0.06	4.23	5.49	12.11	20.35	5.70	0.00	0.14	
202202092000	0.63	0.00	5.03	0.00	1.83	19.48	85.36	0.00	1.46	5.95	0.01	0.27	0.35	0.00	6.70	0.00	0.06	4.22	5.42	11.98	20.11	5.63	0.00	0.14	
202202092100	0.63	0.00	4.97	0.00	1.82	19.35	85.23	0.00	1.46	5.95	0.01	0.27	0.35	0.00	6.56	0.00	0.06	4.19	5.36	11.86	19.86	5.56	0.00	0.14	
202202092200	0.62	0.00	4.93	0.00	1.82	19.28	84.99	0.00	1.45	5.95	0.01	0.27	0.35	0.00	6.42	0.00	0.05	4.19	5.31	11.73	19.62	5.47	0.00	0.13	
202202092300	0.62	0.00	4.87	0.00	1.80	19.21	84.58	0.00	1.43	5.95	0.01	0.27	0.35	0.00	6.28	0.00	0.05	4.21	5.25	11.61	19.40	5.39	0.00	0.13	
202202100000	0.62	0.00	4.82	0.00	1.77	19.17	84.21	0.00	1.41	5.95	0.01	0.26	0.35	0.00	6.15	0.00	0.05	4.19	5.19	11.48	19.17	5.33	0.00	0.13	
202202100100	0.62	0.00	4.77	0.00	1.76	19.11	83.93	0.00	1.39	5.95	0.01	0.26	0.35	0.00	6.02	0.00	0.05	4.20	5.13	11.36	18.94	5.27	0.00	0.13	
202202100200	0.62	0.00	4.72	0.00	1.76	19.04	83.63	0.00	1.37	5.95	0.01	0.26	0.35	0.00	5.89	0.00	0.05	4.18	5.07	11.23	18.72	5.21	0.00	0.12	
202202100300	0.62	0.00	4.67	0.00	1.76	18.97	83.07	0.00	1.36	5.95	0.01	0.26	0.35	0.00	5.78	0.00	0.05	4.18	5.01	11.11	18.49	5.14	0.00	0.12	
202202100400	0.62	0.00	4.63	0.00	1.80	18.90	82.65	0.00	1.34	5.94	0.01	0.26	0.35	0.00	5.67	0.00	0.05	4.17	4.95	10.99	18.29	5.06	0.00	0.12	
202202100500	0.62	0.00	4.58	0.00	1.79	18.80	82.27	0.00	1.33	5.94	0.01	0.26	0.35	0.00	5.56	0.00	0.05	4.19	4.89	10.87	18.08	4.99	0.00	0.11	
202202100600	0.62	0.00	4.52	0.00	1.77	18.75	81.99	0.00	1.31	5.94	0.01	0.26	0.35	0.00	5.46	0.00	0.05	4.20	4.83	10.75	17.88	4.92	0.00	0.11	
202202100700	0.62	0.00	4.48	0.00	1.77	18.66	81.67	0.00	1.29	5.94	0.01	0.26	0.35	0.00	5.35	0.00	0.05	4.19	4.77	10.62	17.67	4.85	0.00	0.11	
202202100800	0.62	0.00	4.43	0.00	1.74	18.53	81.39	0.00	1.28	5.94	0.01	0.26	0.35	0.00	5.25	0.00	0.05	4.16	4.71	10.50	17.46	4.79	0.00	0.11	
202202100900	0.62	0.00	4.39	0.00	1.74	18.37	81.05	0.00	1.26	5.94	0.01	0.26	0.35	0.00	5.15	0.00	0.05	4.12	4.65	10.37	17.24	4.72	0.00	0.10	
202202101000	0.62	0.00	3.48	0.00	1.58	18.01	79.94	0.00	0.63	5.94	0.01	0.26	0.35	0.00	4.45	0.00	0.05	3.86	4.16	9.13	16.20	3.69	0.00	0.10	
202202101100	0.62	0.00	0.96	0.00	0.19	12.79	75.10	0.00	0.11	5.94	0.00	0.26	0.35	0.00	1.40	0.00	0.04	1.64	0.79	2.83	13.56	0.89	0.00	0.05	
202202101200	0.62	0.00	0.54	0.00	0.05	4.01	64.01	0.00	0.02	5.93	0.00	0.26	0.35	0.00	0.59	0.00	0.04	0.29	0.14	1.47	10.41	0.33	0.00	0.02	
202202101300	0.62	0.00	0.19	0.00	0.01	0.71	49.29	0.00	0.00	5.93	0.00	0.26	0.35	0.00	0.37	0.00	0.04	0.05	0.01	0.77	4.48	0.11	0.00	0.00	
202202101400	0.62	0.00	0.02	0.00	0.01	0.12	30.91	0.00	0.00	5.93	0.00	0.26	0.35	0.00	0.34	0.00	0.04	0.01	0.00	0.48	1.34	0.05	0.00	0.00	
202202101500	0.62	0.00	0.01	0.00	0.01	0.02	14.80	0.00	0.00	5.93	0.00	0.26	0.35	0.00	0.32	0.00	0.04	0.00	0.00	0.28	0.56	0.04	0.00	0.00	
202202101600	0.62	0.00	0.01	0.00	0.01	0.02	4.97	0.00	0.00	5.93	0.00	0.26	0.34	0.00	0.30	0.00	0.04	0.00	0.00	0.13	0.26	0.00	0.00	0.00	
202202101700	0.62	0.00	0.01	0.00	0.01	0.02	1.89	0.00	0.00	5.93	0.00	0.26	0.34	0.00	0.28	0.00	0.04	0.00	0.00	0.04	0.09	0.00	0.00	0.00	
202202101800	0.61	0.00	0.01	0.00	0.01	0.01	0.81	0.00	0.00	5.93	0.00	0.26	0.34	0.00	0.26	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202101900	0.61	0.00	0.01	0.00	0.01	0.01	0.36	0.00	0.00	5.93	0.00	0.26	0.34	0.00	0.25	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202102000	0.61	0.00	0.01	0.00	0.01	0.01	0.23	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.23	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202102100	0.61	0.00	0.01	0.00	0.01	0.01	0.09	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.22	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202102200	0.61	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.20	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202102300	0.61	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.19	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202110000	0.61	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.18	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202110100	0.61	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.17	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
202202110200	0.61	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	5.92	0.00	0.26	0.34	0.00	0.16	0.00	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	
